Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
371200,+279,-600078,+99216,+177818,0,0,0,0,0,999.0,999.0,1406728688.299000,2014/07/30,13:58:08,0.299000
371201,+281,-425773,+98591,+186849,0,0,0,0,0,999.0,999.0,1406728688.306680,2014/07/30,13:58:08,0.306680
371202,+282,-244564,+96319,+193119,0,0,0,0,0,999.0,999.0,1406728688.314360,2014/07/30,13:58:08,0.314360
371203,+279,-60779,+93083,+200295,0,0,0,0,0,999.0,999.0,1406728688.322040,2014/07/30,13:58:08,0.322040
371204,+277,+127305,+88136,+208259,0,0,0,0,0,999.0,999.0,1406728688.329720,2014/07/30,13:58:08,0.329720
371205,+274,+311757,+81980,+218377,0,0,0,0,0,999.0,999.0,1406728688.337400,2014/07/30,13:58:08,0.337400
371206,+280,+492725,+74973,+228038,0,0,0,0,0,999.0,999.0,1406728688.345080,2014/07/30,13:58:08,0.345080
371207,+278,+665888,+66104,+234656,0,0,0,0,0,999.0,999.0,1406728688.352760,2014/07/30,13:58:08,0.352760
371208,+277,+828498,+56818,+239618,0,0,0,0,0,999.0,999.0,1406728688.360440,2014/07/30,13:58:08,0.360440
371209,+277,+981991,+46286,+242514,0,0,0,0,0,999.0,999.0,1406728688.368120,2014/07/30,13:58:08,0.368120
371210,+280,+1119658,+35448,+244926,0,0,0,0,0,999.0,999.0,1406728688.375800,2014/07/30,13:58:08,0.375800
371211,+278,+1243170,+24092,+247414,0,0,0,0,0,999.0,999.0,1406728688.383480,2014/07/30,13:58:08,0.383480
371212,+276,+1346355,+12174,+248425,0,0,0,0,0,999.0,999.0,1406728688.391160,2014/07/30,13:58:08,0.391160
371213,+281,+1431208,+21,+249613,0,0,0,0,0,999.0,999.0,1406728688.398840,2014/07/30,13:58:08,0.398840
371214,+280,+1494674,-11903,+249410,0,0,0,0,0,999.0,999.0,1406728688.406520,2014/07/30,13:58:08,0.406520
371215,+277,+1537593,-23864,+248061,0,0,0,0,0,999.0,999.0,1406728688.414200,2014/07/30,13:58:08,0.414200
371216,+279,+1554930,-35536,+246844,0,0,0,0,0,999.0,999.0,1406728688.421880,2014/07/30,13:58:08,0.421880
371217,+277,+1554233,-46367,+244084,0,0,0,0,0,999.0,999.0,1406728688.429560,2014/07/30,13:58:08,0.429560
371218,+278,+1533814,-56888,+241402,0,0,0,0,0,999.0,999.0,1406728688.437240,2014/07/30,13:58:08,0.437240
371219,+280,+1488047,-66019,+238231,0,0,0,0,0,999.0,999.0,1406728688.444920,2014/07/30,13:58:08,0.444920
371220,+274,+1422314,-74758,+232273,0,0,0,0,0,999.0,999.0,1406728688.452600,2014/07/30,13:58:08,0.452600
371221,+279,+1334960,-82032,+224922,0,0,0,0,0,999.0,999.0,1406728688.460280,2014/07/30,13:58:08,0.460280
371222,+280,+1229748,-88091,+215010,0,0,0,0,0,999.0,999.0,1406728688.467960,2014/07/30,13:58:08,0.467960
371223,+276,+1104309,-93184,+204950,0,0,0,0,0,999.0,999.0,1406728688.475640,2014/07/30,13:58:08,0.475640
371224,+280,+964490,-96562,+197720,0,0,0,0,0,999.0,999.0,1406728688.483320,2014/07/30,13:58:08,0.483320
371225,+280,+809574,-98934,+190808,0,0,0,0,0,999.0,999.0,1406728688.491000,2014/07/30,13:58:08,0.491000
371226,+277,+645571,-99598,+184032,0,0,0,0,0,999.0,999.0,1406728688.498680,2014/07/30,13:58:08,0.498680
371227,+279,+471576,-98876,+174060,0,0,0,0,0,999.0,999.0,1406728688.506360,2014/07/30,13:58:08,0.506360
371228,+277,+290113,-96749,+162698,0,0,0,0,0,999.0,999.0,1406728688.514040,2014/07/30,13:58:08,0.514040
371229,+279,+104557,-93017,+155046,0,0,0,0,0,999.0,999.0,1406728688.521720,2014/07/30,13:58:08,0.521720
371230,+276,-82918,-87943,+148522,0,0,0,0,0,999.0,999.0,1406728688.529400,2014/07/30,13:58:08,0.529400
