Pt#,SM-3 Z,FuncGen,Current,Laser,D0,D1,D2,D3,PwrH,DegC,DegF,Seconds,Date(YMD),Time(HMS),FracSec
467200,+279,-1201820,-12810,+182623,0,0,0,0,0,999.0,999.0,1406729425.579000,2014/07/30,14:10:25,0.579000
467201,+277,-1495287,-2416,+181562,0,0,0,0,0,999.0,999.0,1406729425.586680,2014/07/30,14:10:25,0.586680
467202,+278,-1442308,+8361,+181161,0,0,0,0,0,999.0,999.0,1406729425.594360,2014/07/30,14:10:25,0.594360
467203,+274,-1055372,+16825,+182786,0,0,0,0,0,999.0,999.0,1406729425.602040,2014/07/30,14:10:25,0.602040
467204,+277,-424113,+22159,+184420,0,0,0,0,0,999.0,999.0,1406729425.609720,2014/07/30,14:10:25,0.609720
467205,+275,+309362,+21636,+185909,0,0,0,0,0,999.0,999.0,1406729425.617400,2014/07/30,14:10:25,0.617400
467206,+279,+975954,+16620,+187696,0,0,0,0,0,999.0,999.0,1406729425.625080,2014/07/30,14:10:25,0.625080
467207,+279,+1423042,+7663,+188278,0,0,0,0,0,999.0,999.0,1406729425.632760,2014/07/30,14:10:25,0.632760
467208,+280,+1547261,-3415,+188956,0,0,0,0,0,999.0,999.0,1406729425.640440,2014/07/30,14:10:25,0.640440
467209,+278,+1328214,-13297,+188697,0,0,0,0,0,999.0,999.0,1406729425.648120,2014/07/30,14:10:25,0.648120
467210,+278,+806815,-20109,+187441,0,0,0,0,0,999.0,999.0,1406729425.655800,2014/07/30,14:10:25,0.655800
467211,+278,+104512,-22793,+186407,0,0,0,0,0,999.0,999.0,1406729425.663480,2014/07/30,14:10:25,0.663480
467212,+279,-616447,-19990,+184377,0,0,0,0,0,999.0,999.0,1406729425.671160,2014/07/30,14:10:25,0.671160
467213,+276,-1192426,-12667,+182594,0,0,0,0,0,999.0,999.0,1406729425.678840,2014/07/30,14:10:25,0.678840
467214,+276,-1492531,-2716,+181631,0,0,0,0,0,999.0,999.0,1406729425.686520,2014/07/30,14:10:25,0.686520
